key,slogan,picture,url
banner-01,"Steam es el mejor lugar para jugar, hablar sobre juegos y crearlos.",https://mmos.com/wp-content/uploads/2021/07/steam-logo-welcome-banner.jpg,https://store.steampowered.com/?l=spanish
banner-02,Dawntrail - Adventure awaits you beyond the horizon,https://lds-img.finalfantasyxiv.com/h/m/3n6GaWJzqSFh4SknUACjViTxTo.jpg,https://eu.finalfantasyxiv.com
banner-03,We make the engine. You make it Unreal.,https://immersivedesignstudios.com/wp-content/uploads/2017/05/1425334231-unreal-engine-logo.png,https://www.unrealengine.com/unreal-engine-5
banner-04,Fight! Or be forgotten,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJxRtdOlGMFQ5r3yYxyxPs54gQ5kTrmDEMgQ&s,https://www.leagueoflegends.com/es-es/
banner-05,You're already one of us,https://assets.twitch.tv/assets/mobile_iphone-526a4005c7c0760cb83f.png,https://www.twitch.tv
banner-06,Shadowbringers - Adventure awaits you beyond the horizon,https://lds-img.finalfantasyxiv.com/h/H/tMYHkzVXzzrPZOhuAeeApugMFs.jpg,https://eu.finalfantasyxiv.com
banner-07,Endwalker - Adventure awaits you beyond the horizon,https://lds-img.finalfantasyxiv.com/h/L/-RTK0IJTDv2GvH1CSotQHjcI0U.jpg,https://eu.finalfantasyxiv.com
banner-08,Adventure awaits you beyond the horizon,https://farm6.staticflickr.com/5540/12118463203_1b16d53f76.jpg,https://eu.finalfantasyxiv.com
banner-09,"World of Warcraft, Everyone",https://cdn.patchbot.io/games/18/world_of_warcraft_md.webp,https://worldofwarcraft.blizzard.com/es-es/
banner-10,The world could always use more heroes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRly1U3Pc4x13CD2WjLtC8EpSG1wXl_pEYuPw&s,https://overwatch.blizzard.com/es-es/
