key,key:userAccount
# Inventors
project-squad-01,user-account-inventor-01
project-squad-02,user-account-inventor-02
project-squad-03,user-account-inventor-03

# Spokesperson
project-squad-04,user-account-spokesperson-00
project-squad-05,user-account-spokesperson-01
project-squad-06,user-account-spokesperson-02
project-squad-07,user-account-spokesperson-03
project-squad-08,user-account-spokesperson-04
project-squad-09,user-account-spokesperson-05
project-squad-10,user-account-spokesperson-06
project-squad-11,user-account-spokesperson-07
project-squad-12,user-account-spokesperson-08
project-squad-13,user-account-spokesperson-09
project-squad-14,user-account-spokesperson-10
project-squad-15,user-account-spokesperson-11
project-squad-16,user-account-spokesperson-12
project-squad-17,user-account-spokesperson-13
project-squad-18,user-account-spokesperson-14
project-squad-19,user-account-spokesperson-15
project-squad-20,user-account-spokesperson-16
project-squad-21,user-account-spokesperson-17
project-squad-22,user-account-spokesperson-18
project-squad-23,user-account-spokesperson-19
project-squad-24,user-account-spokesperson-20
project-squad-25,user-account-spokesperson-21
project-squad-26,user-account-spokesperson-22
project-squad-27,user-account-spokesperson-23

#Fundraiser
project-squad-28,user-account-fundraiser-00
project-squad-29,user-account-fundraiser-01
project-squad-30,user-account-fundraiser-02
project-squad-31,user-account-fundraiser-03
project-squad-32,user-account-fundraiser-04
project-squad-33,user-account-fundraiser-05
project-squad-34,user-account-fundraiser-06
project-squad-35,user-account-fundraiser-07
project-squad-36,user-account-fundraiser-08
project-squad-37,user-account-fundraiser-09
project-squad-38,user-account-fundraiser-10
project-squad-39,user-account-fundraiser-11
project-squad-40,user-account-fundraiser-12
project-squad-41,user-account-fundraiser-13
project-squad-42,user-account-fundraiser-14
project-squad-43,user-account-fundraiser-15
project-squad-44,user-account-fundraiser-16
project-squad-45,user-account-fundraiser-17
project-squad-46,user-account-fundraiser-18
project-squad-47,user-account-fundraiser-19
project-squad-48,user-account-fundraiser-20
project-squad-49,user-account-fundraiser-21
project-squad-50,user-account-fundraiser-22
project-squad-51,user-account-fundraiser-23

#Manager 
project-squad-52,user-account-manager-01
project-squad-53,user-account-manager-02
project-squad-54,user-account-manager-03

